"Contig"	"popLRT"	"popQ"	"popQsig"
"394"	"Contig10351"	"0.429027606830088"	1	FALSE
"395"	"Contig10352"	"1"	1	FALSE
"396"	"Contig10353"	"0.00966966372697009"	0.0569247114870367	FALSE
"397"	"Contig10354"	"1"	1	FALSE
"398"	"Contig10355"	"1"	1	FALSE
"399"	"Contig10356"	"0.454937566923328"	1	FALSE
"400"	"Contig10357"	"0.273166993326031"	0.753877814315003	FALSE
"401"	"Contig10358"	"1"	1	FALSE
"402"	"Contig10359"	"0.030920377917329"	0.140403686437018	FALSE
"403"	"Contig1036"	"0.455552836797735"	1	FALSE
"404"	"Contig10360"	"1"	1	FALSE
"405"	"Contig10361"	"0.000152634812722084"	0.00236106129570404	TRUE
"406"	"Contig10362"	"1"	1	FALSE
"407"	"Contig10363"	"1"	1	FALSE
"408"	"Contig10364"	"0.99038066911548"	1	FALSE
"409"	"Contig10365"	"1"	1	FALSE
"410"	"Contig10366"	"1"	1	FALSE
"411"	"Contig10367"	"0.165329700143101"	0.509021992278055	FALSE
"412"	"Contig10368"	"1"	1	FALSE
"413"	"Contig10369"	"1"	1	FALSE
"414"	"Contig1037"	"1.24376067656253e-07"	1.08120102039081e-05	TRUE
"415"	"Contig10370"	"0.010060424208493"	0.058743405119039	FALSE
"416"	"Contig10371"	"0.000150427274938737"	0.00233698422246983	TRUE
"417"	"Contig10372"	"1"	1	FALSE
"418"	"Contig10373"	"0.0276540255090077"	0.12865436095614	FALSE
"419"	"Contig10374"	"1"	1	FALSE
"420"	"Contig10375"	"1"	1	FALSE
"421"	"Contig10376"	"0.99661091876788"	1	FALSE
"422"	"Contig10377"	"1"	1	FALSE
"423"	"Contig10378"	"1"	1	FALSE
"424"	"Contig10379"	"1"	1	FALSE
"425"	"Contig1038"	"0.0914880399804991"	0.322640207568769	FALSE
"426"	"Contig10380"	"0.00307422085227825"	0.0235059833716862	TRUE
"427"	"Contig10381"	"0.0700837326771129"	0.262492463198192	FALSE
"428"	"Contig10382"	"1"	1	FALSE
"429"	"Contig10383"	"0.076548207275218"	0.281249792327226	FALSE
"430"	"Contig10384"	"1"	1	FALSE
"431"	"Contig10385"	"0.0275679211537713"	0.128351630463702	FALSE
"432"	"Contig10386"	"0.000585247384284176"	0.0066179222747572	TRUE
"433"	"Contig10387"	"0.0167757984491889"	0.0870964527943058	FALSE
"434"	"Contig10388"	"0.270732840312225"	0.748853270202757	FALSE
"435"	"Contig10389"	"1"	1	FALSE
"436"	"Contig1039"	"0.440241501212044"	1	FALSE
"437"	"Contig10390"	"1"	1	FALSE
"438"	"Contig10391"	"1"	1	FALSE
"439"	"Contig10392"	"1"	1	FALSE
"440"	"Contig10393"	"0.00120735495860099"	0.0114655507304181	TRUE
"441"	"Contig10394"	"1"	1	FALSE
"442"	"Contig10395"	"0.0439568733941097"	0.18409250810066	FALSE
"443"	"Contig10396"	"0.169125668871203"	0.518160699728702	FALSE
"444"	"Contig10397"	"1"	1	FALSE
"445"	"Contig10398"	"1"	1	FALSE
"446"	"Contig10399"	"1"	1	FALSE
"447"	"Contig104"	"0.573671504915371"	1	FALSE
"448"	"Contig1040"	"0.0966659627654028"	0.336697700444974	FALSE
"449"	"Contig10400"	"1"	1	FALSE
"450"	"Contig10401"	"0.189906087799564"	0.567303618286797	FALSE
"451"	"Contig10402"	"0.645335649987863"	1	FALSE
"452"	"Contig10403"	"0.00854635785205483"	0.0517547823324198	FALSE
"453"	"Contig10404"	"0.998974145635108"	1	FALSE
"454"	"Contig10405"	"0.22651789942153"	0.65092429338385	FALSE
"455"	"Contig10406"	"1"	1	FALSE
"456"	"Contig10407"	"1"	1	FALSE
"457"	"Contig10408"	"1"	1	FALSE
"458"	"Contig10409"	"0.454939308192134"	1	FALSE
"459"	"Contig1041"	"0.574473705883519"	1	FALSE
"460"	"Contig10410"	"0.999314930095652"	1	FALSE
"461"	"Contig10411"	"0.685285917108248"	1	FALSE
"462"	"Contig10412"	"0.386346237399214"	0.989939233752504	FALSE
"463"	"Contig10413"	"1"	1	FALSE
"464"	"Contig10414"	"0.0532660593174932"	0.212576548544288	FALSE
"465"	"Contig10415"	"1"	1	FALSE
"466"	"Contig10416"	"1"	1	FALSE
"467"	"Contig10417"	"0.0107875856650136"	0.0619170078651044	FALSE
"468"	"Contig10418"	"1"	1	FALSE
"469"	"Contig10419"	"1"	1	FALSE
"470"	"Contig1042"	"1"	1	FALSE
"471"	"Contig10420"	"1"	1	FALSE
"472"	"Contig10421"	"1"	1	FALSE
"473"	"Contig10422"	"1"	1	FALSE
"474"	"Contig10423"	"0.0975789526054311"	0.339026304019234	FALSE
"475"	"Contig10424"	"8.53896667983281e-06"	0.000268737443357461	TRUE
"476"	"Contig10425"	"0.768550415493028"	1	FALSE
"477"	"Contig10426"	"0.0285266337288264"	0.13183137079152	FALSE
"478"	"Contig10427"	"1"	1	FALSE
"479"	"Contig10428"	"0.0943399815984432"	0.330273824626436	FALSE
"480"	"Contig10429"	"0.00702169636228049"	0.0443566573360518	TRUE
